,svm,rf,mlp,nb
Index,3278,826,594,598
mean_fit_time,36.209777653217316,7.675534427165985,54.443063497543335,24.254172384738922
std_fit_time,3.5799950025076956,0.32990754857108145,4.80561096468597,0.8058498518751366
mean_score_time,0.4005368947982788,0.15579712390899658,0.08650565147399902,0.022004246711730957
std_score_time,0.12147584284428432,0.016957312894805926,0.006563089544735215,0.004916067463240963
param_Kmean__n_clusters,250,250,250,250
params,"{'Kmean__n_clusters': 250, 'clf__C': 1.25, 'clf__gamma': 0.04285714285714286, 'clf__kernel': 'rbf', 'pca__n_components': 0.99}","{'Kmean__n_clusters': 250, 'clf__max_depth': 25, 'clf__n_estimators': 250, 'pca__n_components': 0.86}","{'Kmean__n_clusters': 250, 'clf__alpha': 0.5, 'clf__hidden_layer_sizes': [256, 128, 256, 128], 'clf__learning_rate_init': 0.02}","{'Kmean__n_clusters': 250, 'pca__n_components': 0.99, 'scaler': MinMaxScaler()}"
mean_test_accuracy,0.558,0.531,0.4085,0.5525
std_test_accuracy,0.021307275752662492,0.02570992026436486,0.014309088021254175,0.015516120649182868
rank_test_accuracy,2,10,69,5
mean_train_accuracy,0.8873333333333333,1.0,0.5935,0.6014999999999999
std_train_accuracy,0.005944184833375705,0.0,0.049652962315119425,0.02828967224192522
mean_test_f1_weighted,0.5571975996318568,0.530506466256468,0.38534619718851504,0.544397436056792
std_test_f1_weighted,0.017828809665804773,0.028335268022941222,0.023780262348743583,0.01970616826851942
rank_test_f1_weighted,5,8,163,11
mean_train_f1_weighted,0.887721753982423,1.0,0.5711897077219282,0.6014377466428426
std_train_f1_weighted,0.0060626155897716,0.0,0.06281548235788315,0.0305346525881306
mean_test_roc_auc_ovr,0.8953394927362583,0.8864048922931118,0.8497677802359069,0.9070125348038641
std_test_roc_auc_ovr,0.00610073777016476,0.007987801663885918,0.004203281232369852,0.004377625306750366
rank_test_roc_auc_ovr,1,1,1,1
mean_train_roc_auc_ovr,0.9932893412020366,1.0,0.9343773979414095,0.9034444925038181
std_train_roc_auc_ovr,0.0007711083912298666,0.0,0.015978258135728767,0.005990058907833444
best_final_test_accuracy,0.592,0.542,0.382,0.606
best_final_test_roc_ovr,0.9147455906079642,0.8949880110302505,0.8375841507589706,0.9143316721348569
best_final_test_f1_weighted,0.5893781600828064,0.5422095523983157,0.3765850374142629,0.6033591125107337
