,svm,rf,mlp,nb
Index,353,1436,229,5
mean_fit_time,0.77437424659729,2.3312230706214905,9.787802815437317,0.7158010005950928
std_fit_time,0.05380852129321337,0.04154357642809092,1.126372069907524,0.02654478934543719
mean_score_time,0.024695634841918945,0.06247353553771973,0.010869204998016357,0.0074509382247924805
std_score_time,0.0008497410582763532,0.004189412491475809,0.0007698640651166218,0.0010113099615941153
param_pca__n_components,0.8,0.895,0.876,0.8190000000000001
param_scaler,MinMaxScaler(),passthrough,MinMaxScaler(),passthrough
params,"{'clf__C': 1.5, 'clf__gamma': 0.5, 'clf__kernel': 'rbf', 'pca__n_components': 0.8, 'scaler': MinMaxScaler()}","{'clf__max_depth': 60, 'clf__max_features': 'sqrt', 'clf__n_estimators': 400, 'pca__n_components': 0.895, 'scaler': 'passthrough'}","{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': [128, 128, 64, 64], 'clf__learning_rate_init': 0.0001, 'pca__n_components': 0.876, 'scaler': MinMaxScaler()}","{'pca__n_components': 0.8190000000000001, 'scaler': 'passthrough'}"
split0_test_score,0.464,0.66,0.708,0.612
split1_test_score,0.452,0.568,0.6,0.564
split2_test_score,0.528,0.636,0.716,0.628
split3_test_score,0.504,0.596,0.624,0.552
mean_test_score,0.487,0.615,0.662,0.589
std_test_score,0.030512292604784715,0.03548238999842038,0.050793700396801165,0.031796226191169286
rank_test_score,1,1,1,1
split0_train_score,1.0,1.0,0.9973333333333333,0.8066666666666666
split1_train_score,1.0,1.0,1.0,0.7893333333333333
split2_train_score,1.0,1.0,0.9946666666666667,0.8013333333333333
split3_train_score,1.0,1.0,1.0,0.7746666666666666
mean_train_score,1.0,1.0,0.998,0.793
std_train_score,0.0,0.0,0.0022110831935702575,0.01230627662798317
best_final_test,0.5,0.592,0.64,0.564
best_cv_test,0.487,0.615,0.662,0.589
best_cv_train,1.0,1.0,0.998,0.793
