,svm,rf,mlp,nb
Index,729,989,501,230
mean_fit_time,4.142761766910553,10.553757727146149,79.13085949420929,0.7089032530784607
std_fit_time,0.10953426583785666,0.3109753486537834,8.846858947190913,0.06725900437171528
mean_score_time,1.870670735836029,0.37000375986099243,0.1263931393623352,0.050203025341033936
std_score_time,0.06020236898444315,0.009768546381521493,0.009767325722504341,0.0038772246574044554
param_pca__n_components,0.99,0.9,0.99,0.8761616161616161
params,"{'clf__C': 2.0, 'clf__gamma': 0.07142857142857142, 'clf__kernel': 'rbf', 'pca__n_components': 0.99}","{'clf__max_depth': 125, 'clf__n_estimators': 950, 'pca__n_components': 0.9}","{'clf__alpha': 0.4444444444444444, 'clf__hidden_layer_sizes': [256, 128, 256, 128], 'clf__learning_rate_init': 0.0001, 'pca__n_components': 0.99}","{'pca__n_components': 0.8761616161616161, 'scaler': 'passthrough'}"
mean_test_accuracy,0.7595000000000001,0.664,0.716,0.6365000000000001
std_test_accuracy,0.02994578434437812,0.022583179581272404,0.01555634918610406,0.02192601194928072
rank_test_accuracy,1,1,6,8
mean_train_accuracy,0.9984999999999999,1.0,1.0,0.7685000000000001
std_train_accuracy,0.0007264831572567881,0.0,0.0,0.006902093080282888
mean_test_f1_weighted,0.7616286189927644,0.6668834660142797,0.7157539397141447,0.6413814086716466
std_test_f1_weighted,0.0282311090376786,0.022135932633341782,0.016938045533385054,0.02193136014901956
rank_test_f1_weighted,1,1,7,9
mean_train_f1_weighted,0.9985004662720086,1.0,1.0,0.7714109368025865
std_train_f1_weighted,0.000726508511073051,0.0,0.0,0.006946329270959767
mean_test_roc_auc_ovr,0.9665927391937792,0.923174875840247,0.952826567836775,0.9225646515640704
std_test_roc_auc_ovr,0.003443929149797732,0.010058029196774787,0.004781519674607298,0.010932699478111593
rank_test_roc_auc_ovr,1,1,1,1
mean_train_roc_auc_ovr,0.9999985719679669,1.0,1.0,0.9693638650170997
std_train_roc_auc_ovr,8.844765679972446e-07,0.0,0.0,0.0010912057797029147
best_final_test_accuracy,0.876,0.798,0.838,0.682
best_final_test_roc_ovr,0.9897127732321171,0.9725134946785511,0.9815614224833151,0.9379806002398265
best_final_test_f1_weighted,0.876545667567547,0.799036752321224,0.8380917264616243,0.6826698579779418
