,knn,logistic,svm,truth,truth_map
0,0.0,0.08861111107094585,0.0667730604361541,0,Safe
1,0.0,0.06306801060973914,0.047604764512308634,0,Safe
2,1.0,0.996921742539452,0.999997434671781,1,Spam
3,0.6666666666666666,0.056149135567307475,0.03605557777795271,0,Safe
4,0.0,0.006210831382656667,0.004457010204971678,0,Safe
5,1.0,0.9441030229909982,0.9292842595165269,1,Spam
6,0.0,0.0016756101211584256,0.0003995140769338939,0,Safe
7,0.0,0.0018366575311899406,0.000742737670434841,0,Safe
8,0.6666666666666666,0.7869538594542831,0.7354940308809284,1,Spam
9,0.0,0.006631323828211113,0.005283203590298556,0,Safe
10,0.6666666666666666,0.07050605518018449,0.06792921495249535,0,Safe
11,0.3333333333333333,0.4260909307084285,0.3446118763469438,1,Spam
12,1.0,0.9568941277479205,0.9501383161648556,1,Spam
13,0.0,0.051095000555916405,0.04107319117591328,0,Safe
14,1.0,0.839095383543118,0.9254281168903893,1,Spam
15,0.0,0.11111796359153038,0.07913130250127685,0,Safe
16,1.0,0.8821048193321692,0.9306943770115796,1,Spam
17,0.0,0.019432613314523502,0.019217986039122118,0,Safe
18,0.0,0.06069506588848544,0.036988498751684265,0,Safe
19,0.0,0.06845708398709792,0.1385578227044314,0,Safe
20,1.0,0.9286180313626963,0.9456716592505935,1,Spam
21,1.0,0.9855598164866028,0.9879958416517539,1,Spam
22,0.0,0.3017596637511157,0.2452624870211899,1,Spam
23,0.3333333333333333,0.17742439773188406,0.17468035535920784,0,Safe
24,0.3333333333333333,0.5678783381070458,0.5942283249951934,1,Spam
25,1.0,0.85428495267679,0.8704501754887054,1,Spam
26,0.0,0.4358729612595562,0.40801668483239406,1,Spam
27,0.0,0.020780690205183402,0.03561977847818496,0,Safe
28,0.0,0.02749310824442579,0.03507633906900812,0,Safe
29,0.0,0.6819700557435251,0.6948637278688683,1,Spam
30,0.0,0.06389429912530628,0.0496121324613547,0,Safe
31,1.0,0.9701830220729544,0.981931390259612,1,Spam
32,0.3333333333333333,0.06355947513384895,0.06503311377755201,1,Spam
33,0.0,0.0011107921736666084,0.0004005800435237739,0,Safe
34,1.0,0.9803741621234447,0.9814222757127835,1,Spam
35,0.6666666666666666,0.26419757354714585,0.2914954591857343,0,Safe
36,0.0,0.06739608659914675,0.09920940913887737,0,Safe
37,1.0,0.9785248396126637,0.9928144693402146,1,Spam
38,1.0,0.9945152298325128,0.995942625695015,1,Spam
39,1.0,0.9035069906877755,0.8821431501138497,1,Spam
40,0.3333333333333333,0.004009584900247424,0.0018478032253991675,0,Safe
41,1.0,0.9631865874573385,0.9679590057483498,1,Spam
42,1.0,0.8823856397584878,0.8944931526973244,1,Spam
43,0.3333333333333333,0.930298854597509,0.9552205148599376,1,Spam
44,1.0,0.9511992705958959,0.9783169378556918,1,Spam
45,0.0,0.004475243593028817,0.0035797268769608495,0,Safe
46,0.0,0.0018620159788221612,0.0005144775970128606,0,Safe
47,0.0,0.07247772833079325,0.06313854040244268,0,Safe
48,0.0,0.40601536397801286,0.3991951582516675,0,Safe
49,1.0,0.6241803251407017,0.7914027269525005,1,Spam
50,1.0,0.9949054423914299,0.9956360140735907,1,Spam
51,0.3333333333333333,0.538609328277101,0.506910124873576,1,Spam
52,0.0,0.5682587278869494,0.6111864519942439,1,Spam
53,0.6666666666666666,0.2431495369056862,0.20950193961831928,1,Spam
54,0.0,0.08284075160168168,0.07231381317156017,0,Safe
55,0.3333333333333333,0.7554535252217711,0.7846743348005302,1,Spam
