Model_ID,Attribute,train_mean,train_std,test_mean,test_std
knn,1.0,0.9997826086956522,0.0001984502019946116,0.9081159420289856,0.009914568913905525
knn,2.0,0.9539130434782608,0.0026550827479073966,0.8944927536231884,0.012692541475832623
knn,3.0,0.951231884057971,0.0016324464240679644,0.9069565217391304,0.01432511744133514
knn,4.0,0.9345652173913044,0.0020107879602191043,0.9008695652173913,0.012108173086495895
knn,5.0,0.933695652173913,0.0025747591310782527,0.9049275362318842,0.010530957753382612
knn,6.0,0.9250724637681159,0.004462556300783221,0.901159420289855,0.01432511744133514
knn,7.0,0.925,0.005026969900547695,0.9063768115942029,0.01310773223721159
knn,8.0,0.9196376811594202,0.003997018947977292,0.9023188405797102,0.01286512522966506
knn,9.0,0.9226086956521738,0.004103970649172196,0.9034782608695652,0.013147731513091834
knn,10.0,0.916231884057971,0.0035258668480298238,0.9008695652173913,0.013463448304340363
knn,11.0,0.9189855072463768,0.002983360702933195,0.9008695652173913,0.012783233084753593
knn,12.0,0.9133333333333333,0.004635699304800584,0.8997101449275362,0.011657436262139258
knn,13.0,0.9157971014492754,0.004175321823445792,0.9014492753623188,0.012168735959236725
knn,14.0,0.9102898550724637,0.005178751847639804,0.8991304347826088,0.011439181020678913
knn,15.0,0.9115942028985508,0.0036681986832095117,0.8991304347826088,0.013502393853741575
knn,16.0,0.9096376811594202,0.0025696555400720284,0.8994202898550725,0.014110911819870247
knn,17.0,0.9106521739130435,0.0018930942721178399,0.9005797101449275,0.011711364551209816
knn,18.0,0.9053623188405797,0.003214239871915507,0.8982608695652174,0.012056019909034987
knn,19.0,0.9080434782608696,0.0027877368205320436,0.9017391304347825,0.013916062474385857
knn,20.0,0.9054347826086957,0.003168995595024616,0.9,0.012424947970639342
knn,21.0,0.9068840579710145,0.002483932826232279,0.9017391304347825,0.013416564418589117
knn,22.0,0.9047826086956521,0.002541402596630464,0.8991304347826088,0.013067610526202726
knn,23.0,0.9071739130434782,0.003955751902595996,0.9014492753623188,0.012125507630928626
knn,24.0,0.9027536231884058,0.0032060611312506072,0.8968115942028986,0.012142817429364317
knn,25.0,0.9055797101449276,0.0041988361176284504,0.9005797101449275,0.0141851412211503
knn,26.0,0.902536231884058,0.00413900712275212,0.8982608695652173,0.013494613735634537
knn,27.0,0.9048550724637682,0.004291605107198838,0.898840579710145,0.014103467392119276
knn,28.0,0.9027536231884058,0.004810797472014427,0.896231884057971,0.014586652336331761
knn,29.0,0.9056521739130435,0.0036824857818179473,0.8979710144927535,0.013847975867352182
knn,30.0,0.9047826086956523,0.004094363213483047,0.8976811594202898,0.01676405071411157
knn,31.0,0.9061594202898551,0.004001942397531636,0.898840579710145,0.016280981646357794
knn,32.0,0.9053623188405797,0.004635699304800553,0.8976811594202898,0.016857757708516323
knn,33.0,0.9060144927536232,0.004471372686659386,0.9014492753623188,0.016492473444552205
knn,34.0,0.905,0.004062174324108396,0.9002898550724637,0.016248697296433568
knn,35.0,0.9059420289855072,0.003822420839102282,0.9005797101449275,0.01710513347689341
knn,36.0,0.9044927536231884,0.0037267799624996246,0.9008695652173913,0.015426445322591487
knn,37.0,0.905144927536232,0.0041421775614573445,0.9017391304347825,0.015521461722307615
knn,38.0,0.9030434782608696,0.00450792203333212,0.901159420289855,0.015419636032777266
knn,39.0,0.9047826086956523,0.005574296263025266,0.9014492753623188,0.015676309893321694
knn,40.0,0.9032608695652173,0.005630532705768097,0.9005797101449275,0.015012422217482418
knn,41.0,0.9044927536231884,0.006514690232534261,0.9008695652173913,0.013923607100841107
knn,42.0,0.9030434782608696,0.006226193897011567,0.9005797101449275,0.01462260667319356
knn,43.0,0.9039130434782608,0.006396749134982896,0.9017391304347827,0.013298631590671859
knn,44.0,0.9031884057971015,0.0070181449349584315,0.901159420289855,0.012938384997487333
knn,45.0,0.9057971014492754,0.00630164026482827,0.901159420289855,0.014140650339304872
knn,46.0,0.9044927536231885,0.006564873459334321,0.9002898550724637,0.014028805843860926
knn,47.0,0.9046376811594203,0.006261934624921964,0.8991304347826088,0.01274208964657002
knn,48.0,0.9040579710144927,0.005196465685306482,0.8994202898550725,0.015426445322591496
knn,49.0,0.905072463768116,0.005300267695046313,0.898840579710145,0.014864790034733994
knn,50.0,0.9042028985507246,0.0046723680178630675,0.8985507246376813,0.017086704525437126
knn,51.0,0.9055072463768117,0.004455195985199822,0.8985507246376813,0.014921203102879707
knn,52.0,0.9052898550724638,0.0045657924643546,0.8982608695652173,0.016086303681752595
knn,53.0,0.9062318840579711,0.005246747124411797,0.8973913043478261,0.014361726541260883
knn,54.0,0.9049275362318842,0.00512780371411356,0.8997101449275362,0.015521461722307587
knn,55.0,0.9058695652173914,0.0056735011974096885,0.8985507246376813,0.015676309893321697
knn,56.0,0.9054347826086957,0.005665397018518791,0.8991304347826088,0.01641588259668882
knn,57.0,0.9053623188405797,0.005164791211943573,0.898840579710145,0.015622623742854351
knn,58.0,0.905,0.005321278515634893,0.8982608695652173,0.016053627833099115
knn,59.0,0.9054347826086957,0.005349573572548358,0.9014492753623188,0.014708538500133653
knn,60.0,0.905072463768116,0.00512396218251123,0.8994202898550725,0.016319638562619435
knn,61.0,0.9052173913043479,0.005095702461376519,0.9002898550724637,0.014066186154841667
knn,62.0,0.905144927536232,0.004684994166737546,0.8997101449275362,0.014758434339827193
knn,63.0,0.9064492753623188,0.005290351376360571,0.9008695652173913,0.014295762661632091
knn,64.0,0.9055797101449276,0.005114987388863989,0.9002898550724637,0.015179386635102805
knn,65.0,0.9063043478260869,0.004276283369223337,0.9005797101449275,0.013771929296469072
knn,66.0,0.9055072463768117,0.004388397660475302,0.9002898550724637,0.013455645667750902
knn,67.0,0.9065942028985507,0.005352026942809189,0.9028985507246376,0.013479040027346534
knn,68.0,0.9063043478260869,0.005834345937856197,0.901159420289855,0.015521461722307563
knn,69.0,0.9065217391304348,0.005482878967544067,0.9031884057971015,0.015385544379235028
knn,70.0,0.9071739130434782,0.006209303546743522,0.9023188405797102,0.014550609157114352
knn,71.0,0.9076811594202899,0.00580502176333196,0.9034782608695652,0.014622606673193544
knn,72.0,0.9078260869565217,0.0059457835434002715,0.9023188405797102,0.014942303094240014
knn,73.0,0.9082608695652175,0.005190146254918841,0.9028985507246376,0.015371886547533638
knn,74.0,0.9086231884057971,0.004761426522028848,0.903768115942029,0.014148075202163192
knn,75.0,0.9078985507246375,0.003794846658775711,0.9043478260869564,0.01708670452543712
knn,76.0,0.9076811594202898,0.004395869822638581,0.903768115942029,0.016027439189506387
knn,77.0,0.9084057971014493,0.004013406958274796,0.9034782608695652,0.017105133476893405
knn,78.0,0.907463768115942,0.004471372686659398,0.9040579710144927,0.018457646927458497
knn,79.0,0.9080434782608696,0.003698492798601406,0.9040579710144927,0.018823849874337002
knn,80.0,0.907463768115942,0.004135834253659682,0.903768115942029,0.018885120149868918
knn,81.0,0.9081159420289856,0.0038651116965491596,0.9043478260869564,0.01824591059712201
knn,82.0,0.9076811594202898,0.004782059696201861,0.903768115942029,0.018491754095926502
knn,83.0,0.9081159420289856,0.004404819685631633,0.9052173913043479,0.0191062649248429
knn,84.0,0.9077536231884057,0.004412264037208941,0.9046376811594203,0.018851724685807664
knn,85.0,0.9075362318840579,0.003751356262476749,0.9043478260869564,0.019172110949743398
knn,86.0,0.9076086956521741,0.004772441982724463,0.9043478260869564,0.018474708382582535
knn,87.0,0.907463768115942,0.004565792464354579,0.9049275362318842,0.018205575359353268
knn,88.0,0.9066666666666666,0.005310165495814849,0.9043478260869564,0.01870070710226657
knn,89.0,0.9071739130434782,0.0045282608115849,0.9046376811594203,0.018400661157221908
knn,90.0,0.9069565217391304,0.004521007465888135,0.9043478260869566,0.0179558140483534
knn,91.0,0.9072463768115941,0.004496258567387976,0.9040579710144927,0.018113043246339704
knn,92.0,0.9072463768115941,0.004954635627238161,0.9043478260869566,0.01933574502047296
knn,93.0,0.9070289855072463,0.00528538624023493,0.903768115942029,0.018604993085079666
knn,94.0,0.9064492753623188,0.00581067252079114,0.9028985507246376,0.01760138811810305
knn,95.0,0.9072463768115941,0.004772441982724418,0.9031884057971015,0.018767976050063407
knn,96.0,0.9068115942028985,0.005100852237790746,0.9028985507246376,0.01760138811810305
knn,97.0,0.9069565217391304,0.005265478876691327,0.9020289855072464,0.017944112636847812
knn,98.0,0.9067391304347826,0.00468639497232028,0.9040579710144927,0.017403377451916585
knn,99.0,0.9060144927536232,0.0052667252914031844,0.9026086956521739,0.016694997974300546
knn,100.0,0.9063043478260869,0.005697744572698127,0.9028985507246376,0.017055945356434538
logistic,0.1,0.9288405797101449,0.0034238651173702766,0.9269565217391305,0.013345929777647926
logistic,0.2,0.932391304347826,0.0032366248455256963,0.9301449275362319,0.012185984353378497
logistic,0.30000000000000004,0.9346376811594203,0.003206061131250596,0.9307246376811594,0.013878277820143897
logistic,0.4,0.9348550724637681,0.0035165465387104336,0.9310144927536232,0.015629344596571497
logistic,0.5,0.9352173913043478,0.0034884362034524295,0.9321739130434782,0.014615422881714475
