Feature,Importance
word_freq_george,4.331503832594706
word_freq_hp,3.9900528673282865
char_freq_%24,2.9518509318681905
word_freq_edu,2.625116132542335
char_freq_%21,2.582080590381722
word_freq_remove,2.354818580559004
word_freq_hpl,2.21653222914916
word_freq_project,2.134690534455173
word_freq_free,2.0181962602503374
word_freq_money,1.8916015877781371
word_freq_meeting,1.8735704658657282
word_freq_cs,1.7007814625432072
word_freq_re,1.6891109745113209
word_freq_3d,1.6770098069248258
word_freq_000,1.6359909900160807
word_freq_font,1.5659242946898613
word_freq_our,1.5252031149926852
word_freq_85,1.4721943351480515
word_freq_lab,1.4414607433117606
word_freq_telnet,1.4076949911714047
capital_run_length_longest,1.3224673865384058
word_freq_internet,1.3205055289207426
word_freq_business,1.2734757941643917
word_freq_credit,1.2562703871509848
capital_run_length_average,1.1156904816027764
char_freq_%3B,1.1013102262522623
char_freq_%23,1.0742651507124514
word_freq_415,0.9709972647640459
word_freq_conference,0.9471570473950617
word_freq_order,0.8803201310029489
word_freq_your,0.831363004193848
word_freq_pm,0.8139596566143903
word_freq_technology,0.7895631404490492
word_freq_email,0.6767327989827894
capital_run_length_total,0.6530214895019079
word_freq_addresses,0.6486289773671179
word_freq_table,0.6409068337450344
word_freq_will,0.5954029582516952
word_freq_receive,0.5699305635618743
word_freq_857,0.5437183277858529
word_freq_1999,0.5433801586660864
word_freq_data,0.5372117290544498
word_freq_over,0.49689202428770635
word_freq_labs,0.48969287248687243
word_freq_mail,0.4374209100646328
char_freq_%28,0.31682403844215834
word_freq_original,0.27628218095732593
word_freq_650,0.25589063371305154
word_freq_parts,0.2483300531001628
char_freq_%5B,0.15675442468531683
word_freq_direct,0.14964276478899827
word_freq_make,0.12678504113243308
word_freq_you,0.09047246914587756
word_freq_report,0.07949603917694015
word_freq_people,0.05289361675535561
word_freq_address,0.052203475243890185
word_freq_all,0.03699527502940704
