classname,type,index,class,svm_proba,svm_call,svm_diff,mlp_proba,mlp_call,mlp_diff,mean_proba
Coat,Both Difficult,4110,4,0.44278648006802596,3,True,0.4431131984404507,3,True,0.44294983925423836
Coat,MLP Difficult,4410,4,0.7888739501338649,4,False,0.41145852696304985,2,True,0.6001662385484574
Coat,SVM Difficult,4695,4,0.4985785137003475,2,True,0.9999992864324188,4,False,0.7492889000663832
Dress,Both Difficult,3441,3,0.31687595202729246,0,True,0.49333952166141304,0,True,0.40510773684435275
Dress,MLP Difficult,3810,3,0.9472746668970948,3,False,0.27705721588527604,1,True,0.6121659413911854
Dress,SVM Difficult,3382,3,0.4408280694816543,4,True,0.999519591392077,3,False,0.7201738304368657
Pullover,Both Difficult,2801,2,0.39967947653879987,4,True,0.4856767830385814,4,True,0.44267812978869064
Pullover,MLP Difficult,2544,2,0.9677830834927758,2,False,0.08789789053919923,4,True,0.5278404870159875
Pullover,SVM Difficult,2877,2,0.4989553747601871,4,True,0.9999560613021041,2,False,0.7494557180311456
Top,Both Difficult,436,0,0.3475377125550218,3,True,0.4878166901713049,3,True,0.41767720136316333
Top,MLP Difficult,921,0,0.8070845531384919,0,False,0.48884632870624584,2,True,0.6479654409223689
Top,SVM Difficult,137,0,0.42979671723014096,3,True,0.9830142561527191,0,False,0.70640548669143
Trouser,Both Difficult,1070,1,0.41477356249137726,3,True,0.12873786632308098,3,True,0.2717557144072291
Trouser,MLP Difficult,1914,1,0.8159751919948052,1,False,0.2367397894234751,3,True,0.5263574907091402
Trouser,SVM Difficult,1974,1,0.20275538152619627,4,True,0.9999999642535875,1,False,0.6013776728898919
